position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,coverage,num_vanishing_states,fault_sensitive_detection,bit_flip_detection,phase_detection,active_support_size
2,3,8,2,1,8,after_walk_step_1,0.75,6,0.6666666666666665,0.9999999999999997,0.0,2
2,3,8,2,2,16,after_walk_step_2,0.5,4,0.22222222222222213,0.3333333333333332,0.0,4
2,3,8,4,1,8,after_walk_step_1,0.75,6,0.6666666666666665,0.9999999999999997,0.0,2
2,3,8,4,2,16,after_walk_step_2,0.5,4,0.22222222222222213,0.3333333333333332,0.0,4
2,3,8,4,3,24,after_walk_step_3,0.75,6,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,2
2,3,8,4,4,32,after_walk_step_4,0.875,7,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,1
2,3,8,6,1,8,after_walk_step_1,0.75,6,0.6666666666666665,0.9999999999999997,0.0,2
2,3,8,6,2,16,after_walk_step_2,0.5,4,0.22222222222222213,0.3333333333333332,0.0,4
2,3,8,6,3,24,after_walk_step_3,0.75,6,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,2
2,3,8,6,4,32,after_walk_step_4,0.875,7,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,1
2,3,8,6,5,40,after_walk_step_5,0.75,6,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,2
2,3,8,6,6,48,after_walk_step_6,0.5,4,0.22222222222222202,0.33333333333333304,0.0,4
2,3,8,8,1,8,after_walk_step_1,0.75,6,0.6666666666666665,0.9999999999999997,0.0,2
2,3,8,8,2,16,after_walk_step_2,0.5,4,0.22222222222222213,0.3333333333333332,0.0,4
2,3,8,8,3,24,after_walk_step_3,0.75,6,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,2
2,3,8,8,4,32,after_walk_step_4,0.875,7,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,1
2,3,8,8,5,40,after_walk_step_5,0.75,6,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,2
2,3,8,8,6,48,after_walk_step_6,0.5,4,0.22222222222222202,0.33333333333333304,0.0,4
2,3,8,8,7,56,after_walk_step_7,0.75,6,0.444444444444444,0.666666666666666,9.744706808328948e-34,2
2,3,8,8,8,64,after_walk_step_8,0.875,7,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,1
2,3,8,10,1,8,after_walk_step_1,0.75,6,0.6666666666666665,0.9999999999999997,0.0,2
2,3,8,10,2,16,after_walk_step_2,0.5,4,0.22222222222222213,0.3333333333333332,0.0,4
2,3,8,10,3,24,after_walk_step_3,0.75,6,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,2
2,3,8,10,4,32,after_walk_step_4,0.875,7,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,1
2,3,8,10,5,40,after_walk_step_5,0.75,6,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,2
2,3,8,10,6,48,after_walk_step_6,0.5,4,0.22222222222222202,0.33333333333333304,0.0,4
2,3,8,10,7,56,after_walk_step_7,0.75,6,0.444444444444444,0.666666666666666,9.744706808328948e-34,2
2,3,8,10,8,64,after_walk_step_8,0.875,7,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,1
2,3,8,10,9,72,after_walk_step_9,0.75,6,0.6666666666666656,0.9999999999999986,2.8334215802910323e-34,2
2,3,8,10,10,80,after_walk_step_10,0.5,4,0.22222222222222188,0.3333333333333328,0.0,4
2,3,8,12,1,8,after_walk_step_1,0.75,6,0.6666666666666665,0.9999999999999997,0.0,2
2,3,8,12,2,16,after_walk_step_2,0.5,4,0.22222222222222213,0.3333333333333332,0.0,4
2,3,8,12,3,24,after_walk_step_3,0.75,6,0.44444444444444425,0.6666666666666664,1.0573994819069698e-33,2
2,3,8,12,4,32,after_walk_step_4,0.875,7,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,1
2,3,8,12,5,40,after_walk_step_5,0.75,6,0.6666666666666662,0.9999999999999992,1.0577867747089267e-33,2
2,3,8,12,6,48,after_walk_step_6,0.5,4,0.22222222222222202,0.33333333333333304,0.0,4
2,3,8,12,7,56,after_walk_step_7,0.75,6,0.444444444444444,0.666666666666666,9.744706808328948e-34,2
2,3,8,12,8,64,after_walk_step_8,0.875,7,0.6666666666666657,0.9999999999999987,1.0537141357839972e-33,1
2,3,8,12,9,72,after_walk_step_9,0.75,6,0.6666666666666656,0.9999999999999986,2.8334215802910323e-34,2
2,3,8,12,10,80,after_walk_step_10,0.5,4,0.22222222222222188,0.3333333333333328,0.0,4
2,3,8,12,11,88,after_walk_step_11,0.75,6,0.44444444444444364,0.6666666666666655,1.5563467254518633e-35,2
2,3,8,12,12,96,after_walk_step_12,0.875,7,0.6666666666666653,0.9999999999999979,3.5508415375743507e-34,1
3,4,16,2,1,10,after_walk_step_1,0.875,14,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,2
3,4,16,2,2,20,after_walk_step_2,0.75,12,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,4
3,4,16,4,1,10,after_walk_step_1,0.875,14,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,2
3,4,16,4,2,20,after_walk_step_2,0.75,12,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,4
3,4,16,4,3,30,after_walk_step_3,0.6875,11,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,5
3,4,16,4,4,40,after_walk_step_4,0.5,8,0.16666666666666596,0.24999999999999895,0.0,8
3,4,16,6,1,10,after_walk_step_1,0.875,14,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,2
3,4,16,6,2,20,after_walk_step_2,0.75,12,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,4
3,4,16,6,3,30,after_walk_step_3,0.6875,11,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,5
3,4,16,6,4,40,after_walk_step_4,0.5,8,0.16666666666666596,0.24999999999999895,0.0,8
3,4,16,6,5,50,after_walk_step_5,0.6875,11,0.3958333333333312,0.5937499999999968,1.1454548964141983e-31,5
3,4,16,6,6,60,after_walk_step_6,0.5,8,0.1666666666666656,0.2499999999999984,0.0,8
3,4,16,8,1,10,after_walk_step_1,0.875,14,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,2
3,4,16,8,2,20,after_walk_step_2,0.75,12,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,4
3,4,16,8,3,30,after_walk_step_3,0.6875,11,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,5
3,4,16,8,4,40,after_walk_step_4,0.5,8,0.16666666666666596,0.24999999999999895,0.0,8
3,4,16,8,5,50,after_walk_step_5,0.6875,11,0.3958333333333312,0.5937499999999968,1.1454548964141983e-31,5
3,4,16,8,6,60,after_walk_step_6,0.5,8,0.1666666666666656,0.2499999999999984,0.0,8
3,4,16,8,7,70,after_walk_step_7,0.6875,11,0.3958333333333302,0.5937499999999953,1.3571170294521366e-31,5
3,4,16,8,8,80,after_walk_step_8,0.5,8,0.16666666666666516,0.24999999999999775,0.0,8
3,4,16,10,1,10,after_walk_step_1,0.875,14,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,2
3,4,16,10,2,20,after_walk_step_2,0.75,12,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,4
3,4,16,10,3,30,after_walk_step_3,0.6875,11,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,5
3,4,16,10,4,40,after_walk_step_4,0.5,8,0.16666666666666596,0.24999999999999895,0.0,8
3,4,16,10,5,50,after_walk_step_5,0.6875,11,0.3958333333333312,0.5937499999999968,1.1454548964141983e-31,5
3,4,16,10,6,60,after_walk_step_6,0.5,8,0.1666666666666656,0.2499999999999984,0.0,8
3,4,16,10,7,70,after_walk_step_7,0.6875,11,0.3958333333333302,0.5937499999999953,1.3571170294521366e-31,5
3,4,16,10,8,80,after_walk_step_8,0.5,8,0.16666666666666516,0.24999999999999775,0.0,8
3,4,16,10,9,90,after_walk_step_9,0.6875,11,0.39583333333332943,0.5937499999999941,6.145834695816145e-32,5
3,4,16,10,10,100,after_walk_step_10,0.75,12,0.4999999999999944,0.7499999999999916,6.913072195200371e-31,4
3,4,16,12,1,10,after_walk_step_1,0.875,14,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,2
3,4,16,12,2,20,after_walk_step_2,0.75,12,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,4
3,4,16,12,3,30,after_walk_step_3,0.6875,11,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,5
3,4,16,12,4,40,after_walk_step_4,0.5,8,0.16666666666666596,0.24999999999999895,0.0,8
3,4,16,12,5,50,after_walk_step_5,0.6875,11,0.3958333333333312,0.5937499999999968,1.1454548964141983e-31,5
