position_qubits,total_qubits,basis_states,steps,strategy,checkpoint_step,checkpoint,label,oracle_method,coverage,fault_sensitive_detection,bit_flip_detection,phase_detection,oracle_gate_count,asserted_cx_overhead,normalized_cx_overhead,normalized_cost,TP,TN,FP,FN,Detection Rate,Support-Level FPR,Post-selected Support-Valid Rate
2,3,8,6,min_cost,2,16,after_walk_step_2,simplified_boolean,0.5,0.2222222222222221,0.3333333333333332,0.0,1,1,0.0138888888888888,0.0088372032621681,8,76,1,15,0.3478260869565217,0.0129870129870129,0.8351648351648352
2,3,8,6,max_coverage,4,32,after_walk_step_4,simplified_boolean,0.875,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,58,27,0.375,0.3497155991896525,17,60,17,6,0.7391304347826086,0.2207792207792207,0.9090909090909092
2,3,8,6,max_fault_sensitivity,1,8,after_walk_step_1,simplified_boolean,0.75,0.6666666666666665,0.9999999999999996,0.0,29,12,0.1666666666666666,0.1558360604643914,6,74,3,17,0.2608695652173913,0.0389610389610389,0.8131868131868132
2,3,8,6,best_detection_cost_proxy,2,16,after_walk_step_2,simplified_boolean,0.5,0.2222222222222221,0.3333333333333332,0.0,1,1,0.0138888888888888,0.0088372032621681,8,76,1,15,0.3478260869565217,0.0129870129870129,0.8351648351648352
2,3,8,6,late_checkpoint,6,48,after_walk_step_6,simplified_boolean,0.5,0.222222222222222,0.333333333333333,0.0,1,1,0.0138888888888888,0.0088372032621681,23,77,0,0,1.0,0.0,1.0
2,3,8,8,min_cost,2,16,after_walk_step_2,simplified_boolean,0.5,0.2222222222222221,0.3333333333333332,0.0,1,1,0.0104166666666666,0.0066279024466261,7,44,0,49,0.125,0.0,0.4731182795698925
2,3,8,8,max_coverage,4,32,after_walk_step_4,simplified_boolean,0.875,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,58,27,0.28125,0.2622866993922393,24,42,2,32,0.4285714285714285,0.0454545454545454,0.5675675675675675
2,3,8,8,max_fault_sensitivity,1,8,after_walk_step_1,simplified_boolean,0.75,0.6666666666666665,0.9999999999999996,0.0,29,12,0.125,0.1168770453482935,4,44,0,52,0.0714285714285714,0.0,0.4583333333333333
2,3,8,8,best_detection_cost_proxy,2,16,after_walk_step_2,simplified_boolean,0.5,0.2222222222222221,0.3333333333333332,0.0,1,1,0.0104166666666666,0.0066279024466261,7,44,0,49,0.125,0.0,0.4731182795698925
2,3,8,8,late_checkpoint,8,64,after_walk_step_8,simplified_boolean,0.875,0.6666666666666657,0.9999999999999988,1.0537141357839972e-33,74,35,0.3645833333333333,0.3314973897459872,56,44,0,0,1.0,0.0,1.0
2,3,8,10,min_cost,2,16,after_walk_step_2,simplified_boolean,0.5,0.2222222222222221,0.3333333333333332,0.0,1,1,0.0083333333333333,0.0053023219573009,4,67,1,28,0.125,0.0147058823529411,0.7052631578947368
2,3,8,10,max_coverage,4,32,after_walk_step_4,simplified_boolean,0.875,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,58,27,0.225,0.2098293595137914,12,51,17,20,0.375,0.25,0.7183098591549296
2,3,8,10,max_fault_sensitivity,1,8,after_walk_step_1,simplified_boolean,0.75,0.6666666666666665,0.9999999999999996,0.0,29,12,0.1,0.0935016362786348,0,66,2,32,0.0,0.0294117647058823,0.673469387755102
2,3,8,10,best_detection_cost_proxy,2,16,after_walk_step_2,simplified_boolean,0.5,0.2222222222222221,0.3333333333333332,0.0,1,1,0.0083333333333333,0.0053023219573009,4,67,1,28,0.125,0.0147058823529411,0.7052631578947368
2,3,8,10,late_checkpoint,10,80,after_walk_step_10,simplified_boolean,0.5,0.2222222222222218,0.3333333333333328,0.0,1,1,0.0083333333333333,0.0053023219573009,32,68,0,0,1.0,0.0,1.0
3,4,16,6,min_cost,4,40,after_walk_step_4,simplified_boolean,0.5,0.1666666666666659,0.2499999999999989,0.0,1,0,0.0,0.0006105006105006,15,72,2,11,0.5769230769230769,0.027027027027027,0.8674698795180723
3,4,16,6,max_coverage,1,10,after_walk_step_1,simplified_boolean,0.875,0.6666666666666655,0.9999999999999982,1.1879538661501788e-32,104,44,0.1833333333333333,0.1861647361647361,6,73,1,20,0.2307692307692307,0.0135135135135135,0.7849462365591398
3,4,16,6,max_fault_sensitivity,1,10,after_walk_step_1,simplified_boolean,0.875,0.6666666666666655,0.9999999999999982,1.1879538661501788e-32,104,44,0.1833333333333333,0.1861647361647361,6,73,1,20,0.2307692307692307,0.0135135135135135,0.7849462365591398
3,4,16,6,best_detection_cost_proxy,4,40,after_walk_step_4,simplified_boolean,0.5,0.1666666666666659,0.2499999999999989,0.0,1,0,0.0,0.0006105006105006,15,72,2,11,0.5769230769230769,0.027027027027027,0.8674698795180723
3,4,16,6,late_checkpoint,6,60,after_walk_step_6,simplified_boolean,0.5,0.1666666666666656,0.2499999999999984,0.0,1,0,0.0,0.0006105006105006,26,74,0,0,1.0,0.0,1.0
3,4,16,8,min_cost,4,40,after_walk_step_4,simplified_boolean,0.5,0.1666666666666659,0.2499999999999989,0.0,1,0,0.0,0.0004578754578754,14,70,1,15,0.4827586206896552,0.0140845070422535,0.8235294117647058
3,4,16,8,max_coverage,1,10,after_walk_step_1,simplified_boolean,0.875,0.6666666666666655,0.9999999999999982,1.1879538661501788e-32,104,44,0.1375,0.1396235521235521,5,61,10,24,0.1724137931034483,0.1408450704225352,0.7176470588235294
3,4,16,8,max_fault_sensitivity,1,10,after_walk_step_1,simplified_boolean,0.875,0.6666666666666655,0.9999999999999982,1.1879538661501788e-32,104,44,0.1375,0.1396235521235521,5,61,10,24,0.1724137931034483,0.1408450704225352,0.7176470588235294
3,4,16,8,best_detection_cost_proxy,4,40,after_walk_step_4,simplified_boolean,0.5,0.1666666666666659,0.2499999999999989,0.0,1,0,0.0,0.0004578754578754,14,70,1,15,0.4827586206896552,0.0140845070422535,0.8235294117647058
3,4,16,8,late_checkpoint,8,80,after_walk_step_8,simplified_boolean,0.5,0.1666666666666651,0.2499999999999977,0.0,1,0,0.0,0.0004578754578754,29,71,0,0,1.0,0.0,1.0
3,4,16,10,min_cost,4,40,after_walk_step_4,simplified_boolean,0.5,0.1666666666666659,0.2499999999999989,0.0,1,0,0.0,0.0003663003663003,13,45,4,38,0.2549019607843137,0.0816326530612244,0.5421686746987951
3,4,16,10,max_coverage,1,10,after_walk_step_1,simplified_boolean,0.875,0.6666666666666655,0.9999999999999982,1.1879538661501788e-32,104,44,0.11,0.1116988416988417,5,46,2,47,0.0961538461538461,0.0416666666666666,0.4946236559139785
3,4,16,10,max_fault_sensitivity,1,10,after_walk_step_1,simplified_boolean,0.875,0.6666666666666655,0.9999999999999982,1.1879538661501788e-32,104,44,0.11,0.1116988416988417,5,46,2,47,0.0961538461538461,0.0416666666666666,0.4946236559139785
3,4,16,10,best_detection_cost_proxy,4,40,after_walk_step_4,simplified_boolean,0.5,0.1666666666666659,0.2499999999999989,0.0,1,0,0.0,0.0003663003663003,13,45,4,38,0.2549019607843137,0.0816326530612244,0.5421686746987951
3,4,16,10,late_checkpoint,10,100,after_walk_step_10,simplified_boolean,0.75,0.4999999999999944,0.7499999999999916,6.913072195200371e-31,33,0,0.0,0.012087912087912,57,43,0,0,1.0,0.0,1.0
4,5,32,6,min_cost,4,48,after_walk_step_4,simplified_boolean,0.75,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,155,0,0.0,0.0326178451178451,26,54,9,11,0.7027027027027027,0.1428571428571428,0.8307692307692308
4,5,32,6,max_coverage,1,12,after_walk_step_1,simplified_boolean,0.9375,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,391,56,0.0833333333333333,0.1689274240879745,10,56,5,29,0.2564102564102564,0.081967213114754,0.6588235294117647
4,5,32,6,max_fault_sensitivity,1,12,after_walk_step_1,simplified_boolean,0.9375,0.6666666666666585,0.9999999999999878,2.335940207364612e-31,391,56,0.0833333333333333,0.1689274240879745,10,56,5,29,0.2564102564102564,0.081967213114754,0.6588235294117647
4,5,32,6,best_detection_cost_proxy,4,48,after_walk_step_4,simplified_boolean,0.75,0.4166666666666454,0.6249999999999681,3.681169815274743e-31,155,0,0.0,0.0326178451178451,26,54,9,11,0.7027027027027027,0.1428571428571428,0.8307692307692308
4,5,32,6,late_checkpoint,6,72,after_walk_step_6,simplified_boolean,0.625,0.2499999999999805,0.3749999999999708,7.313988133326307e-31,328,0,0.0,0.069023569023569,39,61,0,0,1.0,0.0,1.0
