position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,fault_sensitive_detection,bit_flip_detection,phase_detection,num_fault_locations,baseline_depth,baseline_cx_count,baseline_gate_count,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cx_overhead,normalized_cost,benefit_cost_score,detection_cost_score,runtime_seconds,status,error_message,strategy
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,0.2222222222222221,0.3333333333333332,0.0,9,46,24,62,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.0416666666666666,0.0265116097865045,18.859662013225577,8.38207200587803,0.007565040999907,ok,,min_cost
2,3,8,2,1,8,after_walk_step_1,0.5,simplified_boolean,8,6,0.75,0.75,0.73125,0.6666666666666665,0.9999999999999996,0.0,9,46,24,62,20.0,29.0,12.0,66.0,36.0,91.0,20.0,12.0,29.0,0.5,0.4675081813931743,1.6042500000000002,1.4259999999999995,0.0086224169936031,ok,,max_coverage
2,3,8,2,1,8,after_walk_step_1,0.5,simplified_boolean,8,6,0.75,0.75,0.73125,0.6666666666666665,0.9999999999999996,0.0,9,46,24,62,20.0,29.0,12.0,66.0,36.0,91.0,20.0,12.0,29.0,0.5,0.4675081813931743,1.6042500000000002,1.4259999999999995,0.0086224169936031,ok,,max_fault_sensitivity
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,0.2222222222222221,0.3333333333333332,0.0,9,46,24,62,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.0416666666666666,0.0265116097865045,18.859662013225577,8.38207200587803,0.007565040999907,ok,,best_detection_cost_proxy
2,3,8,2,2,16,after_walk_step_2,1.0,simplified_boolean,8,4,0.5,0.5,0.4875,0.2222222222222221,0.3333333333333332,0.0,9,46,24,62,1.0,1.0,1.0,47.0,25.0,63.0,1.0,1.0,1.0,0.0416666666666666,0.0265116097865045,18.859662013225577,8.38207200587803,0.007565040999907,ok,,late_checkpoint
2,3,8,4,2,16,after_walk_step_2,0.5,simplified_boolean,8,4,0.5,0.5,0.49375,0.2222222222222221,0.3333333333333332,0.0,9,92,48,124,1.0,1.0,1.0,93.0,49.0,125.0,1.0,1.0,1.0,0.0208333333333333,0.0132558048932522,37.71932402645115,16.76414401175606,0.0077535409945994,ok,,min_cost
2,3,8,4,4,32,after_walk_step_4,1.0,simplified_boolean,8,7,0.875,0.875,0.8640625,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,92,48,124,50.0,58.0,27.0,142.0,75.0,182.0,50.0,27.0,58.0,0.5625,0.5245733987844787,1.668022057594831,1.27087394864368,0.00982083400595,ok,,max_coverage
2,3,8,4,1,8,after_walk_step_1,0.25,simplified_boolean,8,6,0.75,0.75,0.740625,0.6666666666666665,0.9999999999999996,0.0,9,92,48,124,20.0,29.0,12.0,112.0,60.0,153.0,20.0,12.0,29.0,0.25,0.2337540906965871,3.2085000000000004,2.851999999999999,0.0092088340024929,ok,,max_fault_sensitivity
2,3,8,4,2,16,after_walk_step_2,0.5,simplified_boolean,8,4,0.5,0.5,0.49375,0.2222222222222221,0.3333333333333332,0.0,9,92,48,124,1.0,1.0,1.0,93.0,49.0,125.0,1.0,1.0,1.0,0.0208333333333333,0.0132558048932522,37.71932402645115,16.76414401175606,0.0077535409945994,ok,,best_detection_cost_proxy
2,3,8,4,4,32,after_walk_step_4,1.0,simplified_boolean,8,7,0.875,0.875,0.8640625,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,92,48,124,50.0,58.0,27.0,142.0,75.0,182.0,50.0,27.0,58.0,0.5625,0.5245733987844787,1.668022057594831,1.27087394864368,0.00982083400595,ok,,late_checkpoint
2,3,8,6,2,16,after_walk_step_2,0.3333333333333333,simplified_boolean,8,4,0.5,0.5,0.4958333333333333,0.2222222222222221,0.3333333333333332,0.0,9,138,72,186,1.0,1.0,1.0,139.0,73.0,187.0,1.0,1.0,1.0,0.0138888888888888,0.0088372032621681,56.578986039676714,25.14621601763408,0.0081606669991742,ok,,min_cost
2,3,8,6,4,32,after_walk_step_4,0.6666666666666666,simplified_boolean,8,7,0.875,0.875,0.8677083333333333,0.6666666666666663,0.9999999999999994,1.057786774708927e-33,9,138,72,186,50.0,58.0,27.0,188.0,99.0,244.0,50.0,27.0,58.0,0.375,0.3497155991896525,2.502033086392246,1.90631092296552,0.0103411249874625,ok,,max_coverage
